hour	hype	pando	baker	clap	turnip	mustard	swan	mustard on a swan	chorizo	bsl
20	24	5	8	0	0	0	0	0	0	0
21	1198	51	74	126	0	115	121	52	0	56
22	682	3	197	45	0	141	148	63	0	49
23	397	30	17	7	0	57	59	11	0	4
0	321	6	0	79	0	13	24	3	0	11
1	413	3	0	9	0	40	56	9	30	5
2	267	2	1	5	0	2	2	2	0	9
3	198	3	0	54	0	7	7	5	2	20
4	398	0	2	48	0	5	7	0	0	13
5	210	2	0	12	0	14	16	7	0	10
6	215	1	0	9	0	9	8	6	0	13
7	138	0	0	21	0	16	22	5	0	9
8	284	3	0	2	0	4	8	3	2	26
9	396	1	8	1	0	23	33	10	0	25
10	252	2	45	3	0	26	29	8	1	3
11	152	1	8	8	0	19	18	4	0	10

